title,href,deadline,output
"Fellowships Open Book Program","http://127.0.0.1:5500/grants/odh/FOBP","11/13/24","Fellowship"
"Digital Humanities Advancement Grants","http://127.0.0.1:5500/grants/odh/digital-humanities-advancement-grants","1/9/25","Report, Curriculum Project, Digital Infrastructure (Software, Website, etc.), Workshop"
"Institutes for Advanced Topics in the Digital Humanities","http://127.0.0.1:5500/grants/odh/institutes-advanced-topics-in-the-digital-humanities","2/13/25","Professional Development for Teachers or Faculty, Digital Infrastructure (Software, Website, etc.), Digital Project for the Public (Game, App, etc.), Conference, Workshop, Staff Development, Other Scholarly Resource"
"Dangers and Opportunities of Technology: Perspectives from the Humanities","http://127.0.0.1:5500/program/dangers-and-opportunities-technology-perspectives-humanities","9/4/25","Report, Digital Infrastructure (Software, Website, etc.), Digital Project for the Public (Game, App, etc.), Media Project (Film, Podcast, etc.), Workshop"
