title,href,deadline,output
"Dynamic Language Infrastructure – Documenting Endangered Languages Senior Research Grants","http://127.0.0.1:5500/grants/preservation/documenting-endangered-languages","9/16/24","Dictionary, Encyclopedia, or Other Reference Resource, Curriculum Project, Fellowship, Language Learning Resource"
"Save America's Treasures","http://127.0.0.1:5500/program/save-americas-treasures","12/15/24","Collections Care or Infrastructure"
"Preservation Assistance Grants for Smaller Institutions","http://127.0.0.1:5500/grants/preservation/preservation-assistance-grants-smaller-institutions","1/9/25","Report, Collections Care or Infrastructure, Preservation and Conservation Training or Research, Workshop"
"Sustaining Cultural Heritage Collections","http://127.0.0.1:5500/grants/preservation/sustaining-cultural-heritage-collections","1/10/25","Collections Care or Infrastructure"
"National Digital Newspaper Program","http://127.0.0.1:5500/grants/preservation/national-digital-newspaper-program","1/10/25","Digitization Project"
"Research and Development","http://127.0.0.1:5500/grants/preservation/research-and-development","5/20/25","Preservation and Conservation Training or Research"
"Cultural and Community Resilience","http://127.0.0.1:5500/program/cultural-and-community-resilience","5/20/25","Collections Care or Infrastructure, Cultural Preservation or Oral History, Digitization Project"
"Preservation and Access Education and Training","http://127.0.0.1:5500/grants/preservation/preservation-and-access-education-and-training","5/20/25","Report, Collections Care or Infrastructure, Preservation and Conservation Training or Research, Workshop"
"Humanities Collections and Reference Resources","http://127.0.0.1:5500/grants/preservation/humanities-collections-and-reference-resources","7/15/25","Dictionary, Encyclopedia, or Other Reference Resource, Digital Infrastructure (Software, Website, etc.), Collections Care or Infrastructure, Digitization Project"
